Cliente_RUC,Razon_Social,Nombre_Comercial,Direccion,Telefono,Email
20000085,  Farmacia Fuerza,  FARMACIA FUERZA,,949882172,..farmacia.fuerza@yahoo.com
20000086,Botica  San Pedro,Botica  San Pedro,,985642382,boticasanpedro@hotmail.com
20000087,BOTICA VIRTUD,BOTICA VIRTUD,"Av. Principal 3113, Ayacucho",963908459,
20000088,Droguería Buena,DROGUERÍA BUENA,"Av. Principal 1946, Arequipa",988340568,
20000089,Farmacia Vida Sana,Farmacia Vida Sana,"Av. Central 6915, Ayacucho",953534906,farmacia_vida_sana@outlook.com  
20000090,Botica del Pueblo,Botica del Pueblo,"Av. Central 3408, Huancayo",973800878,boticadelpueblo@gmail.com
20000091,Farmacia Paz,Farmacia Paz,"Av. Principal 636, Arequipa",951058668,
20000092,Botica Éxito,Botica Éxito,,931274304,boticaéxito@gmail.com
20000093,Farmacia Esperanza,Farmacia Esperanza,"Av. Principal 4038, Huancayo",937536586,
20000094,BOTICA SEGURA,BOTICA SEGURA,"Av. Comercial 3989, Cusco",913592258,
20000095,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Comercial 4115, Cusco",939076132,  DROGUERÍA EXPRESS@GMAIL.COM
20000096,  Farmacia Fuerza,  Farmacia Fuerza,"Av. Comercial 5026, Ayacucho",923049969,farmaciafuerza@hotmail.com
20000097,Farmacia Amistad,FARMACIA AMISTAD,"Av. Principal 4618, Ayacucho",973915401,farmacia_amistad@outlook.com  
20000098,  Droguería   Completa,Droguería   Completa,"Av. Central 1277, Lima",930291950,droguería...completa@yahoo.com
20000099,Droguería Especial,DROGUERÍA ESPECIAL,"Av. Principal 6670, Arequipa",953853861,
20000100,BOTICA SEGURA,BOTICA SEGURA,"Av. Comercial 7465, Lima",972288663,BOTICA SEGURA@GMAIL.COM
20000101,  Droguería Fiel,  DROGUERÍA FIEL,"Av. Comercial 3245, Trujillo",998281500,
20000102,Droguería Premium,Droguería Premium,,933272677,DROGUERÍA PREMIUM@GMAIL.COM
20000103,Drogueríamoderna,DROGUERÍAMODERNA,"Av. Comercial 5492, Cusco",994599590,drogueríamoderna@yahoo.com
20000104,FARMACIA DEL DOCTOR,FARMACIA DEL DOCTOR,"Av. Principal 5405, Cusco",995819187,farmacia.del.doctor@yahoo.com
20000105,Farmacia Honor,Farmacia Honor,"Av. Central 6213, Huancayo",955968827,farmacia_honor@outlook.com  
20000106,Droguería Integral,Droguería Integral,"Av. Central 3758, Pucallpa",999875040,droguería.integral@yahoo.com
20000107,Droguería Integral,DROGUERÍA INTEGRAL,"Av. Principal 5808, Pucallpa",912481855,DROGUERÍA INTEGRAL@GMAIL.COM
20000108,BOTICA FELIZ,BOTICA FELIZ,"Av. Central 3117, Lima",944166221,
20000109,Botica Perfecta,BOTICA PERFECTA,"Av. Principal 2930, Trujillo",924470676,BOTICA PERFECTA@GMAIL.COM
20000110,Farmacia Salud Total,FARMACIA SALUD TOTAL,"Av. Comercial 8735, Iquitos",973198988,
20000111,Botica Éxito,BOTICA ÉXITO,"Av. Central 8033, Arequipa",982024173,
20000112,Droguería Premium,DROGUERÍA PREMIUM,"Av. Comercial 2295, Lima",955034227,
20000113,Farmacia Honor,FARMACIA HONOR,"Av. Central 4305, Pucallpa",945062855,
20000114,Droguería Especial,Droguería Especial,"Av. Comercial 5049, Ayacucho",976221309,droguería.especial@yahoo.com
20000115,botica generica,BOTICA GENERICA,"Av. Principal 3516, Lima",938055330,boticagenerica@hotmail.com
20000116,  Droguería Fiel,  Droguería Fiel,,983378164,
20000117,Botica Cruz Azul,BOTICA CRUZ AZUL,"Av. Principal 8135, Cusco",939865072,boticacruzazul@hotmail.com
20000118,botica VALOR,BOTICA VALOR,"Av. Central 395, Pucallpa",926450855,botica_valor@outlook.com  
20000119,Farmacia Nueva,Farmacia Nueva,"Av. Central 9387, Ayacucho",,farmacia.nueva@yahoo.com
20000120,  Farmacia Fuerza,  FARMACIA FUERZA,"Av. Comercial 965, Trujillo",966302896,..farmacia.fuerza@yahoo.com
20000121,Droguería Exacta,DROGUERÍA EXACTA,"Av. Principal 5251, Ayacucho",932621064,
20000122,FARMACIA SANTA ROSA,FARMACIA SANTA ROSA,"Av. Comercial 6269, Arequipa",967624636,farmacia.santa.rosa@yahoo.com
20000123,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Comercial 4065, Arequipa",967996966,
20000124,  Farmacia  Confianza,Farmacia  Confianza,"Av. Comercial 7775, Huancayo",927546114,
20000125,Botica del Centro,Botica del Centro,"Av. Comercial 8718, Cusco",963167602,botica_del_centro@outlook.com  
20000126,Farmacia Popular,FARMACIA POPULAR,"Av. Principal 667, Pucallpa",921616774,
20000127,Farmacia Rápida,Farmacia Rápida,"Av. Central 4501, Lima",927604647,
20000128,  Farmacia Popular,FARMACIA POPULAR,"Av. Comercial 6856, Arequipa",940286420,farmacia.popular@yahoo.com
20000129,FARMACIA DEL DOCTOR,FARMACIA DEL DOCTOR,"Av. Principal 4045, Arequipa",,farmacia.del.doctor@yahoo.com
20000130,FARMACIA PROFESIONAL,FARMACIA PROFESIONAL,"Av. Central 6622, Pucallpa",976911087,farmacia.profesional@yahoo.com
20000131,botica generica,botica generica,"Av. Comercial 2074, Iquitos",931297983,
20000132,Farmacia  UNIVERSAL,FARMACIA  UNIVERSAL,"Av. Principal 2719, Iquitos",986576001,farmacia..universal@yahoo.com
20000133,  Farmacia Fuerza,  FARMACIA FUERZA,"Av. Central 4643, Arequipa",955771784,farmaciafuerza@hotmail.com
20000134,Farmacia Vida Sana,FARMACIA VIDA SANA,"Av. Central 8929, Pucallpa",992354316,FARMACIA VIDA SANA@GMAIL.COM
20000135,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Comercial 5393, Huancayo",980187389,  DROGUERÍA EXPRESS@GMAIL.COM
20000136,Farmacia Amistad,FARMACIA AMISTAD,"Av. Principal 5516, Huancayo",970580474,farmaciaamistad@gmail.com
20000137,BOTICA FELIZ,BOTICA FELIZ,"Av. Principal 5899, Iquitos",997538298,BOTICA FELIZ@GMAIL.COM
20000138,Farmacia Paz,FARMACIA PAZ,"Av. Central 6520, Iquitos",996842630,farmaciapaz@hotmail.com
20000139,BOTICA SEGURA,BOTICA SEGURA,"Av. Comercial 299, Arequipa",995267937,botica.segura@yahoo.com
20000140,botica generica,botica generica,"Av. Principal 4473, Cusco",969262235,boticagenerica@gmail.com
20000141,BOTICA SEGURA,BOTICA SEGURA,"Av. Principal 5202, Pucallpa",,boticasegura@hotmail.com
20000142,botica EXCELENCIA,botica EXCELENCIA,,914668572,botica_excelencia@outlook.com  
20000143,Droguería Premium,Droguería Premium,"Av. Central 8365, Lima",955200298,drogueríapremium@hotmail.com
20000144,botica generica,botica generica,"Av. Central 1613, Trujillo",979494832,
20000145,Farmacia Vida Sana,FARMACIA VIDA SANA,"Av. Principal 8466, Ayacucho",949617186,FARMACIA VIDA SANA@GMAIL.COM
20000146,Farmacia Siempre,FARMACIA SIEMPRE,"Av. Comercial 4284, Cusco",970435335,farmacia_siempre@outlook.com  
20000147,Botica Cruz Azul,BOTICA CRUZ AZUL,"Av. Principal 3501, Arequipa",928844479,BOTICA CRUZ AZUL@GMAIL.COM
20000148,Droguería Buena,DROGUERÍA BUENA,"Av. Comercial 5876, Lima",912879317,drogueríabuena@hotmail.com
20000149,  Botica Bella,Botica Bella,"Av. Comercial 8329, Trujillo",915915173,
20000150,Farmacia  Noble,FARMACIA  NOBLE,"Av. Comercial 6645, Pucallpa",979455015,farmacianoble@gmail.com
20000151,Farmacia Salud Total,Farmacia Salud Total,"Av. Comercial 7681, Pucallpa",955434993,FARMACIA SALUD TOTAL@GMAIL.COM
20000152,  Droguería Fiel,  DROGUERÍA FIEL,"Av. Principal 3775, Iquitos",915211270,drogueríafiel@hotmail.com
20000153,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Central 4602, Cusco",969545581,
20000154,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Principal 459, Huancayo",,
20000155,Farmacia el Milagro,FARMACIA EL MILAGRO,"Av. Comercial 313, Lima",926338010,FARMACIA EL MILAGRO@GMAIL.COM
20000156,Farmacia  UNIVERSAL,Farmacia  UNIVERSAL,"Av. Principal 8342, Cusco",996107986,farmacia..universal@yahoo.com
20000157,botica central,BOTICA CENTRAL,"Av. Central 9590, Pucallpa",965457993,
20000158,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Comercial 1313, Arequipa",,..droguería.express@yahoo.com
20000159,BOTICA FELIZ,BOTICA FELIZ,"Av. Central 791, Huancayo",971560051,
20000160,Farmacia  Confianza,FARMACIA  CONFIANZA,"Av. Central 4004, Trujillo",914390957,
20000161,Farmacia Paz,Farmacia Paz,"Av. Central 1107, Lima",,
20000162,Droguería Integral,DROGUERÍA INTEGRAL,"Av. Central 4905, Trujillo",969882383,
20000163,botica generica,botica generica,"Av. Comercial 5846, Iquitos",,botica_generica@outlook.com  
20000164,Farmacia  Noble,FARMACIA  NOBLE,"Av. Central 6581, Pucallpa",921357806,
20000165,Botica Calidad,BOTICA CALIDAD,"Av. Central 4297, Lima",948578970,
20000166,Farmacia Salud Total,FARMACIA SALUD TOTAL,"Av. Principal 568, Iquitos",918192015,farmacia.salud.total@yahoo.com
20000167,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,,961504171,__droguería_express@outlook.com  
20000168,  Farmacia Salud Total,FARMACIA SALUD TOTAL,"Av. Comercial 6584, Huancayo",968403947,farmaciasaludtotal@hotmail.com
20000169,Farmacia Amistad,FARMACIA AMISTAD,"Av. Comercial 5331, Arequipa",951421661,farmacia_amistad@outlook.com  
20000170,DROGUERÍA HERMOSA,DROGUERÍA HERMOSA,"Av. Principal 2874, Cusco",936515081,
20000171,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,,990969482,  DROGUERÍA EXPRESS@GMAIL.COM
20000172,FARMACIA PROFESIONAL,FARMACIA PROFESIONAL,"Av. Central 1015, Huancayo",922263382,farmacia.profesional@yahoo.com
20000173,botica generica,botica generica,"Av. Comercial 981, Iquitos",936336031,
20000174,Farmacia Nueva,Farmacia Nueva,,977014258,farmacianueva@gmail.com
20000175,Farmacia Honor,FARMACIA HONOR,"Av. Comercial 2517, Pucallpa",977395525,
20000176,  Farmacia San Juan,  FARMACIA SAN JUAN,,976704662,
20000177,Farmacia Rápida,Farmacia Rápida,"Av. Comercial 8347, Lima",988343353,FARMACIA RÁPIDA@GMAIL.COM
20000178,botica generica,botica generica,"Av. Principal 6261, Arequipa",950492044,botica.generica@yahoo.com
20000179,Botica Éxito,BOTICA ÉXITO,"Av. Comercial 6652, Pucallpa",918918731,boticaéxito@gmail.com
20000180,Farmacia  UNIVERSAL,FARMACIA  UNIVERSAL,"Av. Central 5072, Iquitos",965240510,farmacia__universal@outlook.com  
20000181,Farmacia  Confianza,FARMACIA  CONFIANZA,"Av. Principal 6952, Iquitos",964491853,FARMACIA  CONFIANZA@GMAIL.COM
20000182,Botica del Centro,BOTICA DEL CENTRO,"Av. Comercial 7563, Trujillo",949418359,botica.del.centro@yahoo.com
20000183,Farmacia  UNIVERSAL,FARMACIA  UNIVERSAL,"Av. Principal 3230, Ayacucho",951260841,
20000184,BOTICA MATRIZ,BOTICA MATRIZ,"Av. Principal 7408, Trujillo",948728915,botica_matriz@outlook.com  
20000185,  Farmacia  Noble,Farmacia  Noble,"Av. Comercial 128, Lima",996807164,farmacia__noble@outlook.com  
20000186,botica central,botica central,"Av. Principal 1719, Ayacucho",,botica.central@yahoo.com
20000187,Farmacia  Noble,Farmacia  Noble,,,
20000188,Botica Cruz Azul,BOTICA CRUZ AZUL,"Av. Comercial 5105, Iquitos",981594761,botica.cruz.azul@yahoo.com
20000189,Farmacia Siempre,Farmacia Siempre,"Av. Comercial 2576, Iquitos",948803670,farmacia_siempre@outlook.com  
20000190,Drogueríamoderna,Drogueríamoderna,"Av. Central 9409, Ayacucho",942872543,
20000191,Droguería Especial,DROGUERÍA ESPECIAL,"Av. Comercial 1157, Lima",952896809,droguería.especial@yahoo.com
20000192,botica generica,BOTICA GENERICA,"Av. Principal 4208, Trujillo",945332643,boticagenerica@hotmail.com
20000193,Farmacia Amistad,FARMACIA AMISTAD,"Av. Central 4473, Arequipa",951876739,farmacia_amistad@outlook.com  
20000194,Droguería  Los Andes,Droguería  Los Andes,,944022384,droguería__los_andes@outlook.com  
20000195,Farmacia Siempre,FARMACIA SIEMPRE,"Av. Principal 9983, Arequipa",951964927,farmacia_siempre@outlook.com  
20000196,  Farmacia San Juan,  Farmacia San Juan,"Av. Central 9747, Huancayo",961113010,
20000197,  Farmacia Fuerza,  FARMACIA FUERZA,"Av. Central 3011, Arequipa",995456288,__farmacia_fuerza@outlook.com  
20000198,droguería moderna,DROGUERÍA MODERNA,"Av. Comercial 8510, Ayacucho",957113358,
20000199,Farmacia Vida Sana,FARMACIA VIDA SANA,"Av. Central 748, Lima",919196347,
20000200,botica EXCELENCIA,botica EXCELENCIA,"Av. Central 2359, Iquitos",911427365,boticaexcelencia@gmail.com
20000201,botica VALOR,BOTICA VALOR,"Av. Principal 3629, Ayacucho",960015987,boticavalor@gmail.com
20000202,Droguería Integral,DROGUERÍA INTEGRAL,"Av. Comercial 8584, Huancayo",920128946,drogueríaintegral@gmail.com
20000203,Droguería Buena,DROGUERÍA BUENA,"Av. Comercial 7219, Iquitos",950078687,
20000204,botica VALOR,BOTICA VALOR,"Av. Central 1738, Iquitos",978184673,
20000205,droguería moderna,DROGUERÍA MODERNA,"Av. Comercial 7382, Ayacucho",993236698,droguería.moderna@yahoo.com
20000206,Botica Cruz Azul,Botica Cruz Azul,"Av. Principal 194, Iquitos",918994968,boticacruzazul@hotmail.com
20000207,BOTICA SEGURA,BOTICA SEGURA,"Av. Central 1462, Trujillo",936582536,
20000208,Farmacia  UNIVERSAL,FARMACIA  UNIVERSAL,"Av. Principal 3786, Huancayo",986384382,farmacia__universal@outlook.com  
20000209,  Botica Elegancia,  Botica Elegancia,"Av. Comercial 7400, Iquitos",985654476,boticaelegancia@hotmail.com
20000210,droguería moderna,DROGUERÍA MODERNA,"Av. Central 1324, Huancayo",997899607,droguería.moderna@yahoo.com
20000211,Droguería Buena,DROGUERÍA BUENA,"Av. Comercial 1671, Cusco",963136737,droguería_buena@outlook.com  
20000212,Farmacia  Noble,Farmacia  Noble,"Av. Comercial 1415, Cusco",935387938,farmacia..noble@yahoo.com
20000213,Farmacia Oferta,Farmacia Oferta,"Av. Comercial 8245, Ayacucho",,FARMACIA OFERTA@GMAIL.COM
20000214,Droguería Especial,Droguería Especial,"Av. Comercial 1489, Ayacucho",978730558,DROGUERÍA ESPECIAL@GMAIL.COM
20000215,FARMACIA SANTA ROSA,FARMACIA SANTA ROSA,"Av. Comercial 8317, Ayacucho",978091036,FARMACIA SANTA ROSA@GMAIL.COM
20000216,Botica Calidad,BOTICA CALIDAD,"Av. Principal 2959, Iquitos",993715593,BOTICA CALIDAD@GMAIL.COM
20000217,BOTICA SEGURA,BOTICA SEGURA,"Av. Central 1369, Cusco",940491480,botica_segura@outlook.com  
20000218,Droguería Exacta,Droguería Exacta,"Av. Comercial 2995, Pucallpa",917819095,
20000219,BOTICA VIRTUD,BOTICA VIRTUD,"Av. Principal 1485, Arequipa",914873587,botica_virtud@outlook.com  
20000220,  BOTICA VIRTUD,BOTICA VIRTUD,"Av. Comercial 9418, Pucallpa",994637835,botica_virtud@outlook.com  
20000221,  Drogueríamoderna,Drogueríamoderna,"Av. Central 6937, Pucallpa",976735938,drogueríamoderna@gmail.com
20000222,Drogueríamoderna,DROGUERÍAMODERNA,"Av. Comercial 9150, Ayacucho",,drogueríamoderna@hotmail.com
20000223,BOTICA MATRIZ,BOTICA MATRIZ,"Av. Comercial 9276, Lima",925121641,
20000224,FARMACIA DEL DOCTOR,FARMACIA DEL DOCTOR,"Av. Principal 3535, Iquitos",930112141,
20000225,Droguería  Los Andes,DROGUERÍA  LOS ANDES,"Av. Central 6450, Pucallpa",,
20000226,DROGUERÍA HERMOSA,DROGUERÍA HERMOSA,,927117464,drogueríahermosa@hotmail.com
20000227,  botica EXCELENCIA,BOTICA EXCELENCIA,"Av. Central 4691, Cusco",945823890,boticaexcelencia@gmail.com
20000228,BOTICA SEGURA,BOTICA SEGURA,"Av. Comercial 4432, Iquitos",988028001,
20000229,  Botica Elegancia,  BOTICA ELEGANCIA,"Av. Principal 4046, Pucallpa",917458346,
20000230,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Central 8001, Huancayo",949523089,..droguería.express@yahoo.com
20000231,  Farmacia Fuerza,  FARMACIA FUERZA,,937966909,  FARMACIA FUERZA@GMAIL.COM
20000232,  Farmacia Salud Total,FARMACIA SALUD TOTAL,,929200381,farmacia_salud_total@outlook.com  
20000233,Farmacia  Noble,Farmacia  Noble,"Av. Principal 3174, Cusco",917451356,
20000234,FARMACIA PROFESIONAL,FARMACIA PROFESIONAL,"Av. Principal 9651, Ayacucho",,
20000235,Droguería  Los Andes,DROGUERÍA  LOS ANDES,"Av. Principal 6900, Pucallpa",963944196,drogueríalosandes@hotmail.com
20000236,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Principal 3305, Arequipa",965398496,  DROGUERÍA EXPRESS@GMAIL.COM
20000237,Botica del Centro,Botica del Centro,"Av. Central 1564, Cusco",956287986,boticadelcentro@hotmail.com
20000238,botica generica,BOTICA GENERICA,"Av. Comercial 5622, Lima",965632223,
20000239,Droguería Integral,DROGUERÍA INTEGRAL,"Av. Principal 2896, Arequipa",990163727,drogueríaintegral@gmail.com
20000240,Farmacia Honor,FARMACIA HONOR,"Av. Principal 6578, Pucallpa",914138026,
20000241,FARMACIA DEL DOCTOR,FARMACIA DEL DOCTOR,,978258705,farmaciadeldoctor@hotmail.com
